Term;Course #;Title`;Cross-listed Courses;Faculty;Method;Day and Time;Room;Enrollment;Combined Enrollment
0809S;ARHA-15-01;Painting I;;David Gloman;L/D;TTH 01:00PM-04:00PM;FAYE 201;17;17
0809S;ARHA-16-01;Europ Architecture/Design;EUST-52-01,ARHA-16-01;Thom Long;L/D;MW 09:00AM-12:00PM;SMUD 116;9;10
0809S;ARHA-18-01;Photography I;;Justin Kimball;L/D;TTH 01:00PM-04:00PM;FAYE 17B;16;16
0809S;ARHA-23-01;Adv Studio Seminar;;Robert Sweeney;L/D;MW 08:30AM-10:30AM;FAYE 201;4;4
0809S;ARHA-24-01;Sculpture II;;Carol Keller;L/D;MW 09:00AM-11:00AM;FAYE 1;7;7
0809S;ARHA-26-01;Painting II;;Robert Sweeney;L/D;MW 01:00PM-04:00PM;FAYE 201;5;5
0809S;ARHA-28-01;Photography II;;Justin Kimball;L/D;TTH 09:00AM-11:00AM;FAYE 17B;8;8
0809S;ARHA-32-01;Art/Architectre 300-1500;;Joel Upton;L/D;MW 12:30PM-01:50PM;FAYE 117;18;18
0809S;ARHA-33-01;Material Cultr: Am Homes;HIST-37-01,ARHA-33-01;Kevin Sweeney;L/D;TTH 02:00PM-03:20PM;CHAP 203;5;21
0809S;ARHA-36-01;Thinking Architecturally;;David Dillon;L/D;MW 08:30AM-09:50AM;FAYE 117;30;30
0809S;ARHA-37-01;Amer Art/Arch 1600-Present;;Carol Clark;L/D;MW 02:00PM-03:20PM;FAYE 113;35;35
0809S;ARHA-45-01;The Modern World;;Natasha Staller;L/D;TTH 11:30AM-12:50PM;FAYE 117;33;33
0809S;ARHA-49-01;Survey of African Art;ARHA-49-01,BLST-46-01;Rowland Abiodun;L/D;MW 08:30AM-09:50AM;FAYE 217A;5;6
0809S;ARHA-52-01;Italian Renaissance;;Andaleeb Banta;L/D;TTH 10:00AM-11:20AM;FAYE 217A;9;9
0809S;ARHA-53-01;Dutch & Flemish Painting;;Joel Upton;L/D;TTH 02:00PM-03:20PM;FAYE 117;8;8
0809S;ARHA-71-01;American Art At Mead;;Carol Clark;L/D;TTH 02:00PM-03:20PM;FAYE 113;5;5
0809S;ARHA-92-01;The Sixties;;Natasha Staller;L/D;TH 02:00PM-04:30PM;FAYE 217A;13;13
0809S;ARHA-92-02;Making the Invisible Visible;;Nathalie Miebach;L/D;MW 01:00PM-04:00PM;FAYE 101;8;8
0809S;ARHA-92-03;Al-Andalus;;Andaleeb Banta;L/D;W 02:00PM-04:00PM;FAYE 217A;12;12
0809S;ASLC-17-01;Intro to Hinduism;RELI-14-01,ASLC-17-01;Steven Heim;L/D;MW 12:30PM-01:50PM;CONV 207;8;28
0809S;ASLC-30-01;India in Film;;David Reck;L/D;TTH 02:00PM-03:20PM;MEAD 115;37;37
0809S;ASLC-31-01;Asian Studies Colloquium;;Timothy Van Compernolle  Paola Zamperini;L/D;TTH 10:00AM-11:20AM;WEBS 217;23;23
0809S;ASLC-31-01;Asian Studies Colloquium;;Timothy Van Compernolle  Paola Zamperini;L/D;TTH 10:00AM-11:20AM;WEBS 217;23;23
0809S;ASLC-34-01;Japanese Cinema;;Timothy Van Compernolle;L/D;TTH 02:00PM-03:20PM;CHAP 205;17;17
0809S;ASLC-41-01;Anthro of Middle East;ANTH-31-01,ASLC-41-01;Christopher Dole;L/D;MW 02:00PM-03:20PM;CONV 209;3;19
0809S;ASLC-56-01;Sufism;RELI-53-01,ASLC-56-01;Tariq Jaffer;L/D;MW 02:00PM-03:20PM;CHAP 210;1;9
0809S;ASLC-57-01;Social Engaged Buddhism;RELI-28-01,ASLC-57-01;Susan Darlington;L/D;W 02:00PM-05:00PM;CHAP 205;4;8
0809S;ASLC-63-01;Women in Middle East;HIST-62-01,WAGS-62-01,ASLC-63-01;Monica Ringer;L/D;TTH 02:00PM-03:20PM;CHAP 101;1;13
0809S;ASLC-65-01;Mid East Court Culture;HIST-94-01,ASLC-65-01;Monica Ringer;L/D;W 02:00PM-04:30PM;MERR 401;2;8
0809S;ASLC-66-01;Novel in Pre-Mod China;;Paola Zamperini;L/D;TTH 11:30AM-12:50PM;CONV 302;16;16
0809S;ASTR-11-01;Intro Modern Astronomy;;George Greenstein;L/D;MWF 11:00AM-11:50AM;CHAP 201;49;49
0809S;ASTR-15-01;Astro & Phys on Stage;;Lara Phillips;L/D;MW 12:30PM-01:50PM;MERR 314;5;5
0809S;BIOL-04-01;Food/Fiber/Pharmaceuticals;;Rachel Levin;L/D;TTH 10:00AM-11:20AM;MERR 315;32;32
0809S;BIOL-08-01;Cancer and AIDS;;Richard Goldsby;L/D;TTH 02:00PM-03:20PM;MERR 2;97;97
0809S;BIOL-18-02;Adaptation & Organism;;Jill Miller  Ethan Temeles;LEC;MWF 11:00AM-11:50AM;MEAD 115;22;22
0809S;BIOL-18-02;Adaptation & Organism;;Jill Miller  Ethan Temeles;LEC;MWF 11:00AM-11:50AM;MEAD 115;22;22
0809S;BIOL-18-03;Adaptation & Organism;;Jill Miller  Ethan Temeles;LEC;MWF 11:00AM-11:50AM;MEAD 115;22;22
0809S;BIOL-18-03;Adaptation & Organism;;Jill Miller  Ethan Temeles;LEC;MWF 11:00AM-11:50AM;MEAD 115;22;22
0809S;BIOL-18-04;Adaptation & Organism;;Jill Miller  Ethan Temeles;LEC;MWF 11:00AM-11:50AM;MEAD 115;20;20
0809S;BIOL-18-04;Adaptation & Organism;;Jill Miller  Ethan Temeles;LEC;MWF 11:00AM-11:50AM;MEAD 115;20;20
0809S;BIOL-18-05;Adaptation & Organism;;Jill Miller  Ethan Temeles;LEC;MWF 11:00AM-11:50AM;MEAD 115;20;20
0809S;BIOL-18-05;Adaptation & Organism;;Jill Miller  Ethan Temeles;LEC;MWF 11:00AM-11:50AM;MEAD 115;20;20
0809S;BIOL-18-06;Adaptation & Organism;;Jill Miller  Ethan Temeles;LEC;MWF 11:00AM-11:50AM;MEAD 115;20;20
0809S;BIOL-18-06;Adaptation & Organism;;Jill Miller  Ethan Temeles;LEC;MWF 11:00AM-11:50AM;MEAD 115;20;20
0809S;BIOL-22-01;Developmental Biology;;Dominic Poccia;LEC;MWF 11:00AM-11:50AM;MERR 220;11;11
0809S;BIOL-29-01;Cell Structure/Function;;Amy Springer;LEC;TTH 10:00AM-11:20AM;SMUD 207;24;24
0809S;BIOL-30-02;Biochemistry;BIOL-30-02,CHEM-30-02;Anthony Bishop  Patrick Williamson;LEC;MWF 11:00AM-11:50AM;MERR 4;4;9
0809S;BIOL-30-02;Biochemistry;BIOL-30-02,CHEM-30-02;Anthony Bishop  Patrick Williamson;LEC;MWF 11:00AM-11:50AM;MERR 4;4;9
0809S;BIOL-30-03;Biochemistry;BIOL-30-03,CHEM-30-03;Anthony Bishop  Patrick Williamson;LEC;MWF 11:00AM-11:50AM;MERR 4;10;11
0809S;BIOL-30-03;Biochemistry;BIOL-30-03,CHEM-30-03;Anthony Bishop  Patrick Williamson;LEC;MWF 11:00AM-11:50AM;MERR 4;10;11
0809S;BIOL-30-04;Biochemistry;BIOL-30-04,CHEM-30-04;Anthony Bishop  Patrick Williamson;LEC;MWF 11:00AM-11:50AM;MERR 4;9;14
0809S;BIOL-30-04;Biochemistry;BIOL-30-04,CHEM-30-04;Anthony Bishop  Patrick Williamson;LEC;MWF 11:00AM-11:50AM;MERR 4;9;14
0809S;BIOL-48-01;Conservation Biology;;Rachel Levin;L/D;T 02:00PM-05:00PM;MERR 315;12;12
0809S;BLST-11-01;Intro to Black Studies;;Jeffrey Ferguson;L/D;T 02:00PM-04:30PM;COOP 101;22;22
0809S;BLST-11-02;Intro to Black Studies;;Hilary Moss;L/D;M 02:00PM-04:30PM;WEBS 217;25;25
0809S;BLST-15-01;Screening Africa;ENGL-13-01,BLST-15-01;Marisa Parham;L/D;TTH 10:00AM-11:20AM;MEAD 115;11;55
0809S;BLST-19-01;Jazz History After 1945;MUSI-25-01,BLST-19-01;Jason Robinson;L/D;TTH 08:30AM-09:50AM;ARMU 212;3;19
0809S;BLST-20-01;African Cultrs/Societies;ANTH-26-01,BLST-20-01;Miriam Goheen;L/D;MW 12:30PM-01:50PM;MEAD 115;15;67
0809S;BLST-22-01;French Lit Outside Europ;BLST-22-01,FREN-53-01;Leah Hewitt;L/D;MWF 10:00AM-10:50AM;CONV 304;1;19
0809S;BLST-28-01;Relig in Atlantic World;RELI-58-01,BLST-28-01;David Wills;L/D;MW 02:00PM-03:20PM;CHAP 103;0;2
0809S;BLST-33-01;Blk Diaspora: Eman-Prsnt;HIST-12-01,BLST-33-01;Jose Castro Alves;L/D;TTH 10:00AM-11:20AM;COOP 101;10;15
0809S;BLST-36-01;Anglophone Caribbean Lit;;Carol Bailey;L/D;MW 09:30AM-10:50AM;COOP 101;10;10
0809S;BLST-40-01;Contemp African Novels;BLST-40-01,ENGL-67-01;Andrea Rushing;L/D;TTH 11:30AM-12:50PM;COOP 101;3;13
0809S;BLST-42-01;Myth/Ritual West Africa;;Rowland Abiodun;L/D;MW 12:30PM-01:50PM;COOP 101;4;4
0809S;BLST-46-01;Survey of African Art;ARHA-49-01,BLST-46-01;Rowland Abiodun;L/D;MW 08:30AM-09:50AM;FAYE 217A;1;6
0809S;BLST-47-01;Colnl & Pst Colnl Afric;HIST-22-01,BLST-47-01;Sean Redding;L/D;MWF 10:00AM-10:50AM;CHAP 201;4;35
0809S;BLST-49-01;Intro South African Hist;HIST-64-01,BLST-49-01;Sean Redding;L/D;MW 02:00PM-03:20PM;CHAP 203;3;20
0809S;BLST-55-01;Black Existentialism;;John Drabinski;L/D;MW 12:30PM-01:50PM;BARR 102;22;22
0809S;BLST-56-01;Faulkner & Morrison;ENGL-95-03,BLST-56-01;Marisa Parham;L/D;TTH 08:30AM-09:50AM;FAYE 217A;2;18
0809S;BLST-64-01;Black Studies Seminar;;Jeffrey Ferguson;L/D;W 02:00PM-04:30PM;COOP 101;6;6
0809S;BLST-64-02;Black Studies Seminar;;Jose Castro Alves;L/D;W 02:00PM-04:30PM;CONV 304;13;13
0809S;BLST-67-01;Race & Educ Opportunity;HIST-82-01,BLST-67-01;Hilary Moss;L/D;W 02:00PM-04:30PM;WEBS 217;6;20
0809S;CHEM-11-03;Introductory Chemistry;;Zeynep Delen;LEC;MWF 12:00PM-12:50PM;MERR 131;20;20
0809S;CHEM-11-04;Introductory Chemistry;;Zeynep Delen;LEC;MWF 12:00PM-12:50PM;MERR 131;11;11
0809S;CHEM-12-01;Chemical Principles;CHEM-12-01;Helen Leung  Mark Marshall;LEC;MWF 09:00AM-09:50AM;MERR 2;17;17
0809S;CHEM-12-01;Chemical Principles;CHEM-12-01;Helen Leung  Mark Marshall;LEC;MWF 09:00AM-09:50AM;MERR 2;17;17
0809S;CHEM-12-02;Chemical Principles;;Helen Leung  Mark Marshall;LEC;MWF 09:00AM-09:50AM;MERR 2;18;18
0809S;CHEM-12-02;Chemical Principles;;Helen Leung  Mark Marshall;LEC;MWF 09:00AM-09:50AM;MERR 2;18;18
0809S;CHEM-12-03;Chemical Principles;CHEM-12-03;Helen Leung  Mark Marshall;LEC;MWF 09:00AM-09:50AM;MERR 2;18;18
0809S;CHEM-12-03;Chemical Principles;CHEM-12-03;Helen Leung  Mark Marshall;LEC;MWF 09:00AM-09:50AM;MERR 2;18;18
0809S;CHEM-12-04;Chemical Principles;CHEM-12-04;Helen Leung  Mark Marshall;LEC;MWF 09:00AM-09:50AM;MERR 2;18;18
0809S;CHEM-12-04;Chemical Principles;CHEM-12-04;Helen Leung  Mark Marshall;LEC;MWF 09:00AM-09:50AM;MERR 2;18;18
0809S;CHEM-12-05;Chemical Principles;;Helen Leung  Mark Marshall;LEC;MWF 09:00AM-09:50AM;MERR 2;15;15
0809S;CHEM-12-05;Chemical Principles;;Helen Leung  Mark Marshall;LEC;MWF 09:00AM-09:50AM;MERR 2;15;15
0809S;CHEM-12-16;Chemical Principles;;Helen Leung  Mark Marshall;LEC;MWF 09:00AM-09:50AM;MERR 2;0;0
0809S;CHEM-12-16;Chemical Principles;;Helen Leung  Mark Marshall;LEC;MWF 09:00AM-09:50AM;MERR 2;0;0
0809S;CHEM-12-26;Chemical Principles;;Helen Leung  Mark Marshall;LEC;MWF 09:00AM-09:50AM;MERR 2;3;3
0809S;CHEM-12-26;Chemical Principles;;Helen Leung  Mark Marshall;LEC;MWF 09:00AM-09:50AM;MERR 2;3;3
0809S;CHEM-12-36;Chemical Principles;;Helen Leung  Mark Marshall;LEC;MWF 09:00AM-09:50AM;MERR 2;3;3
0809S;CHEM-12-36;Chemical Principles;;Helen Leung  Mark Marshall;LEC;MWF 09:00AM-09:50AM;MERR 2;3;3
0809S;CHEM-12-46;Chemical Principles;;Helen Leung  Mark Marshall;LEC;MWF 09:00AM-09:50AM;MERR 2;3;3
0809S;CHEM-12-46;Chemical Principles;;Helen Leung  Mark Marshall;LEC;MWF 09:00AM-09:50AM;MERR 2;3;3
0809S;CHEM-22-01;Organic Chemistry II;;David Hansen;LEC;MWF 12:00PM-12:50PM;MERR 1;16;16
0809S;CHEM-22-02;Organic Chemistry II;;David Hansen;LEC;MWF 12:00PM-12:50PM;MERR 1;15;15
0809S;CHEM-22-03;Organic Chemistry II;;David Hansen;LEC;MWF 12:00PM-12:50PM;MERR 1;18;18
0809S;CHEM-22-04;Organic Chemistry II;;David Hansen;LEC;MWF 12:00PM-12:50PM;MERR 1;19;19
0809S;CHEM-30-02;Biochemistry;BIOL-30-02,CHEM-30-02;Anthony Bishop  Patrick Williamson;LEC;MWF 11:00AM-11:50AM;MERR 4;5;9
0809S;CHEM-30-02;Biochemistry;BIOL-30-02,CHEM-30-02;Anthony Bishop  Patrick Williamson;LEC;MWF 11:00AM-11:50AM;MERR 4;5;9
0809S;CHEM-30-03;Biochemistry;BIOL-30-03,CHEM-30-03;Anthony Bishop  Patrick Williamson;LEC;MWF 11:00AM-11:50AM;MERR 4;1;11
0809S;CHEM-30-03;Biochemistry;BIOL-30-03,CHEM-30-03;Anthony Bishop  Patrick Williamson;LEC;MWF 11:00AM-11:50AM;MERR 4;1;11
0809S;CHEM-30-04;Biochemistry;BIOL-30-04,CHEM-30-04;Anthony Bishop  Patrick Williamson;LEC;MWF 11:00AM-11:50AM;MERR 4;5;14
0809S;CHEM-30-04;Biochemistry;BIOL-30-04,CHEM-30-04;Anthony Bishop  Patrick Williamson;LEC;MWF 11:00AM-11:50AM;MERR 4;5;14
0809S;CHEM-35-01;Inorganic Chemistry;;Sandra Burkett;LEC;MWF 11:00AM-11:50AM;MERR 3;9;9
0809S;CHEM-35-02;Inorganic Chemistry;;Sandra Burkett;LEC;MWF 11:00AM-11:50AM;MERR 3;12;12
0809S;CHEM-43-01;Physical Chemistry;;Amira Choucair;LEC;TTH 10:00AM-11:20AM;MERR 220;9;9
0809S;CHEM-46-01;Molecular & Cell Biophysics;PHYS-46-01,CHEM-46-01;Nicholas Darnton;L/D;MWF 01:00PM-01:50PM;ESNH 107;1;3
0809S;CHIN-02-01;First-Year Chinese II;;Tong Shen;LEC;MWF 09:00AM-09:50AM;MCLS 230;3;3
0809S;CHIN-02-02;First-Year Chinese II;;Tong Shen;LEC;MWF 09:00AM-09:50AM;MCLS 230;3;3
0809S;CHIN-02-03;First-Year Chinese II;;Tong Shen;LEC;MWF 09:00AM-09:50AM;MCLS 230;2;2
0809S;CHIN-02-04;First-Year Chinese II;;Tong Shen;LEC;MWF 09:00AM-09:50AM;MCLS 230;1;1
0809S;CHIN-02-05;First-Year Chinese II;;Tong Shen;LEC;MWF 10:00AM-10:50AM;MCLS 230;3;3
0809S;CHIN-02-06;First-Year Chinese II;;Tong Shen;LEC;MWF 10:00AM-10:50AM;MCLS 230;4;4
0809S;CHIN-02-07;First-Year Chinese II;;Tong Shen;LEC;MWF 10:00AM-10:50AM;MCLS 230;4;4
0809S;CHIN-02-08;First-Year Chinese II;;Tong Shen;LEC;MWF 10:00AM-10:50AM;MCLS 230;2;2
0809S;CHIN-04-01;Heritage Chinese II;;Weijia Li;L/D;MTWTHF 01:00PM-01:50PM;WEBS 219;3;3
0809S;CHIN-06-01;Second-Year Chinese II;;Xiaoping Teng;LEC;MWF 11:00AM-11:50AM;WEBS 220;6;6
0809S;CHIN-06-02;Second-Year Chinese II;;Xiaoping Teng;LEC;MWF 11:00AM-11:50AM;WEBS 220;8;8
0809S;CHIN-08-01;Third-Year Chinese II;;Weijia Li;LEC;MWF 02:00PM-02:50PM;WEBS 220;13;13
0809S;CHIN-10-01;Fourth-Year Chinese II;;Xiaoping Teng;L/D;MWF 01:00PM-01:50PM;WEBS 103;6;6
0809S;CLAS-28-01;Life in Ancient Rome;;Luca Grillo;L/D;TTH 10:00AM-11:20AM;FAYE 115;52;52
0809S;CLAS-34-01;Archaeology of Greece;;Rebecca Sinos;L/D;MWF 11:00AM-11:50AM;FAYE 117;22;22
0809S;COLQ-18-01;Pst Cld War Am Dipl Hist;;Norman Levin  Pavel Machala;L/D;W 02:00PM-04:30PM;MORG 111;19;19
0809S;COLQ-18-01;Pst Cld War Am Dipl Hist;;Norman Levin  Pavel Machala;L/D;W 02:00PM-04:30PM;MORG 111;19;19
0809S;COLQ-31-01;The Body & the Law;;Gregory Dorr;L/D;MW 12:30PM-01:50PM;CHAP 101;11;11
0809S;COSC-11-01;Intro Computer Science;;Catherine McGeoch;LEC;MW 01:00PM-01:50PM;SMUD 206;35;35
0809S;COSC-12-01;Intro Computer Science II;;John Rager;LEC;MWF 01:00PM-01:50PM;SMUD 207;19;19
0809S;COSC-20-01;Data Struct & Algorithms I;;Catherine McGeoch;L/D;MWF 10:00AM-10:50AM;SMUD 207;26;26
0809S;COSC-26-01;Computer Systems II;;Scott Kaplan;LEC;MW 11:00AM-11:50AM;SMUD 207;11;11
0809S;COSC-28-01;Networks & Cryptography;;Scott Kaplan;L/D;MWF 09:00AM-09:50AM;SMUD 202;9;9
0809S;COSC-38-01;Theoretical Foundations;;John Rager;L/D;MWF 10:00AM-10:50AM;SMUD 202;12;12
0809S;ECON-11-01;An Intro to Economics;;Adam Honig;LEC;MW 02:00PM-03:20PM;MERR 1;21;21
0809S;ECON-11-02;An Intro to Economics;;Adam Honig;LEC;MW 02:00PM-03:20PM;MERR 1;7;7
0809S;ECON-11-03;An Intro to Economics;;Jun Ishii;LEC;MW 02:00PM-03:20PM;MERR 1;25;25
0809S;ECON-11-04;An Intro to Economics;;Jun Ishii;LEC;MW 02:00PM-03:20PM;MERR 1;19;19
0809S;ECON-11-05;Intro to Econ W/ Envir Appl;ENST-23-01,ECON-11-05;Katharine Sims;LEC;MW 02:00PM-03:20PM;MERR 1;8;20
0809S;ECON-11-06;An Intro to Economics;;Steven Rivkin;LEC;MW 02:00PM-03:20PM;MERR 1;12;12
0809S;ECON-24-01;Industrial Organization;;Jun Ishii;L/D;MW 12:30PM-01:50PM;MERR 3;27;27
0809S;ECON-25-01;Environ/Natural Res Econ;;Katharine Sims;L/D;TTH 11:30AM-12:50PM;MERR 2;45;45
0809S;ECON-29-01;US Econ Hist 1865-1965;;Daniel Barbezat;L/D;WF 10:00AM-11:20AM;CONV 308;11;11
0809S;ECON-32-01;International Trade;;Beth Yarbrough;L/D;MW 11:00AM-12:20PM;CONV 207;35;35
0809S;ECON-35-01;Consumption & Happiness;;Daniel Barbezat;L/D;WF 12:30PM-01:50PM;MERR 4;31;31
0809S;ECON-40-01;Health Economics & Policy;;Jessica Reyes;L/D;TTH 10:00AM-11:20AM;ESNH 107;29;29
0809S;ECON-53-01;Macroeconomics;;Adam Honig;L/D;TTH 02:00PM-03:20PM;MERR 3;42;42
0809S;ECON-54-01;Microeconomics;;Christopher Kingston;L/D;MWF 10:00AM-10:50AM;MERR 4;54;54
0809S;ECON-55-01;Intro to Econometrics;;Sami Alpanda;L/D;TTH 10:00AM-11:20AM;MERR 3;21;21
0809S;ECON-57-01;Adv Macroeconomics;;Geoffrey Woglom;L/D;TTH 02:00PM-03:20PM;ESNH 107;23;23
0809S;ECON-63-01;Economics of Finance;;Geoffrey Woglom;L/D;TTH 10:00AM-11:20AM;JOCH 21;34;34
0809S;ECON-64-01;Evaluating Social Policy;;Jessica Reyes;L/D;TTH 11:30AM-12:50PM;CONV 304;16;16
0809S;ECON-72-01;Dynamic Macroeconomics;;Sami Alpanda;L/D;TTH 02:00PM-03:20PM;SMUD 207;7;7
0809S;ECON-79-01;Institutional Economics;;Christopher Kingston;L/D;MW 12:30PM-01:50PM;CONV 304;10;10
0809S;ENGL-01-01;Vampire/Immigrant/Nation;;Dale Hudson;L/D;TTH 10:00AM-11:20AM;CHAP 210;18;18
0809S;ENGL-01-02;Big Books;;Dale Peterson;L/D;MWF 09:00AM-09:50AM;CONV 308;10;10
0809S;ENGL-01-03;Film and Writing;;Helen von Schmidt;L/D;TTH 11:30AM-12:50PM;MERR 4;24;24
0809S;ENGL-01-04;American Wilderness;;Robert Hayashi;L/D;TTH 08:30AM-09:50AM;WEBS 220;11;11
0809S;ENGL-02-01;Reading/Writing/Teaching;;Benigno Sanchez-Eppler;L/D;TTH 08:30AM-09:50AM;WEBS 217;15;15
0809S;ENGL-04-01;Literary/Media History;;Andrew Parker;L/D;TTH 11:30AM-12:50PM;CHAP 101;25;25
0809S;ENGL-07-01;Intro Renaissance Drama;;Allison Deutermann;L/D;TTH 02:00PM-03:20PM;MCLS 230;15;15
0809S;ENGL-10-04;Am Lit: 1942-2007;;Barry O'Connell;L/D;TTH 10:00AM-11:20AM;CHAP 201;56;56
0809S;ENGL-11-01;20th c Theater of Americas;;Jennifer Cayer;L/D;MW 12:30PM-01:50PM;CLAR 100;15;15
0809S;ENGL-12-01;Reading Poetry;;Howell Chickering;L/D;MWF 10:00AM-10:50AM;JOCH 21;16;16
0809S;ENGL-12-02;Reading Poetry;;David Sofield;L/D;TTH 11:30AM-12:50PM;WEBS 220;42;42
0809S;ENGL-13-01;Screening Africa;ENGL-13-01,BLST-15-01;Marisa Parham;L/D;TTH 10:00AM-11:20AM;MEAD 115;44;55
0809S;ENGL-21-01;Writing Poetry I;;David Sofield  Richard Wilbur;L/D;W 02:00PM-04:30PM;CONV 208;13;13
0809S;ENGL-21-01;Writing Poetry I;;David Sofield  Richard Wilbur;L/D;W 02:00PM-04:30PM;CONV 208;13;13
0809S;ENGL-26-01;Fiction Writing I;;Christopher Bachelder;L/D;TH 02:00PM-04:30PM;WEBS 215;13;13
0809S;ENGL-28-01;Fiction Writing II;;Alexander Chee;L/D;M 02:00PM-04:30PM;WEBS 215;12;12
0809S;ENGL-31-01;Chaucer-Canterbury Tales;;Howell Chickering;L/D;MWF 11:00AM-11:50AM;JOCH 21;14;14
0809S;ENGL-32-01;Medieval Love/Sex/Marriage;;Amanda Walling;L/D;MWF 10:00AM-10:50AM;FAYE 117;8;8
0809S;ENGL-36-01;Shakespeare;;Peter Berek;L/D;TTH 11:30AM-12:50PM;MERR 3;36;36
0809S;ENGL-40-01;Victorian Novel I;;Andrew Parker;L/D;TTH 02:00PM-03:20PM;WEBS 220;24;24
0809S;ENGL-49-01;Moral Essay;;Robert Townsend;L/D;TTH 08:30AM-09:50AM;WEBS 215;16;16
0809S;ENGL-50-01;Composition;;Helen von Schmidt;L/D;MW 12:30PM-01:50PM;CONV 308;17;17
0809S;ENGL-53-01;Literature of Madness;;Dale Peterson;L/D;MW 12:30PM-01:50PM;JOCH 21;23;23
0809S;ENGL-63-01;Asian-American Identity;;Robert Hayashi;L/D;TTH 02:00PM-03:20PM;MERR 220;12;12
0809S;ENGL-67-01;Contemp African Novels;BLST-40-01,ENGL-67-01;Andrea Rushing;L/D;TTH 11:30AM-12:50PM;COOP 101;10;13
0809S;ENGL-68-01;Democracy and Education;;Barry O'Connell;L/D;WF 08:30AM-09:50AM;CONV 207;34;34
0809S;ENGL-72-01;Amer Fiction 1950-2000;;William Pritchard;L/D;MW 02:00PM-03:20PM;CONV 108;54;54
0809S;ENGL-79-01;Feminism/Theater/Perform;;Jennifer Cayer;L/D;TTH 10:00AM-11:20AM;MCLS 230;15;15
0809S;ENGL-84-01;Transnat'l Fren Cinemas;ENGL-84-01,FREN-64-01;Dale Hudson;L/D;TTH 02:00PM-03:20PM;CONV 308;6;8
0809S;ENGL-84-02;Political Documentary;;Lalit Vachani;LEC;MW 12:30PM-01:50PM;CHAP 103;16;16
0809S;ENGL-86-01;James Joyce;;John Cameron;L/D;TTH 02:00PM-03:20PM;JOCH 21;45;45
0809S;ENGL-94-01;Expatriate Poets;;Daniel Hall;L/D;MW 12:30PM-01:50PM;MERR 401;14;14
0809S;ENGL-95-01;Taking Hitchcock Seriously;;John Cameron;L/D;MW 02:00PM-03:20PM;JOCH 21;16;16
0809S;ENGL-95-02;Americans in Paris;;Allen Guttmann;L/D;MW 02:00PM-03:20PM;BARR 102;11;11
0809S;ENGL-95-03;Faulkner & Morrison;ENGL-95-03,BLST-56-01;Marisa Parham;L/D;TTH 08:30AM-09:50AM;FAYE 217A;16;18
0809S;ENGL-95-04;Resrch Methods: Amer Culture;AMST-68-01,ENGL-95-04;Karen Sanchez-Eppler;L/D;MW 02:00PM-03:20PM;CONV 302;3;10
0809S;ENGL-95-05;Early Modern Stage;;Allison Deutermann;L/D;TTH 10:00AM-11:20AM;CHAP 103;3;3
0809S;ENST-12-01;Intro Environ Studies;;Peter Crowley  Jan Dizard;L/D;TTH 10:00AM-11:20AM;MERR 2;113;113
0809S;ENST-12-01;Intro Environ Studies;;Peter Crowley  Jan Dizard;L/D;TTH 10:00AM-11:20AM;MERR 2;113;113
0809S;ENST-23-01;Intro to Econ w/ Envir Appl;ENST-23-01,ECON-11-05;Katharine Sims;LEC;MW 02:00PM-03:20PM;MERR 1;12;20
0809S;ENST-24-01;Intro to Statistics;MATH-17-01,ENST-24-01;Amy Wagaman;LEC;MW 11:00AM-11:50AM;SMUD 206;5;30
0809S;EUST-14-01;Napoleon's Legends;;Ronald Rosbottom;L/D;MW 12:30PM-01:50PM;FAYE 113;26;26
0809S;EUST-22-01;European Tradition II;;Ronald Rosbottom;L/D;TTH 11:30AM-12:50PM;CONV 308;11;11
0809S;EUST-24-01;Poetic Translation;;Catherine Ciepiela;L/D;TTH 10:00AM-11:20AM;WEBS 215;9;9
0809S;EUST-26-01;Metamorphoses of Myth;EUST-26-01,WAGS-14-01;Christian Rogowski;L/D;TTH 10:00AM-11:20AM;CHAP 205;3;3
0809S;EUST-37-01;Music & Culture I;MUSI-21-01,EUST-37-01;David Schneider;L/D;MWF 11:00AM-11:50AM;ARMU 212;1;11
0809S;EUST-52-01;Europ Architecture/Design;EUST-52-01,ARHA-16-01;Thom Long;L/D;MW 09:00AM-12:00PM;SMUD 116;1;10
0809S;EUST-65-01;Making Memorials;GERM-65-01,EUST-65-01;Heidi Gilpin;L/D;MW 12:30PM-01:50PM;CONV 302;1;5
0809S;FREN-01-01;Elementary French;;Raina Uhden;LEC;MWF 09:00AM-09:50AM;CHAP 101;6;6
0809S;FREN-01-02;Elementary French;;Raina Uhden;LEC;MWF 09:00AM-09:50AM;CHAP 101;5;5
0809S;FREN-01-03;Elementary French;;Raina Uhden;LEC;MWF 09:00AM-09:50AM;CHAP 101;5;5
0809S;FREN-03-01;Intermediate French;;Raina Uhden;LEC;MWF 10:00AM-10:50AM;CHAP 101;6;6
0809S;FREN-03-02;Intermediate French;;Raina Uhden;LEC;MWF 10:00AM-10:50AM;CHAP 101;4;4
0809S;FREN-03-03;Intermediate French;;Raina Uhden;LEC;MWF 10:00AM-10:50AM;CHAP 101;6;6
0809S;FREN-03-04;Intermediate French;;Raina Uhden;LEC;MWF 11:00AM-11:50AM;CHAP 204;4;4
0809S;FREN-03-05;Intermediate French;;Raina Uhden;LEC;MWF 11:00AM-11:50AM;CHAP 204;5;5
