Term;Course #;Title`;Cross-listed Courses;Faculty;Method;Day and Time;Room;Enrollment;Combined Enrollment
0809F;BIOL-19-02;Molecules, Genes & Cells;;Patrick Williamson  Amy Springer;LEC;MWF 11:00AM-11:50AM;MEAD 115;23;23
0809F;BIOL-19-02;Molecules, Genes & Cells;;Patrick Williamson  Amy Springer;LEC;MWF 11:00AM-11:50AM;MEAD 115;23;23
0809F;BIOL-19-03;Molecules, Genes & Cells;;Patrick Williamson  Amy Springer;LEC;MWF 11:00AM-11:50AM;MEAD 115;14;14
0809F;BIOL-19-03;Molecules, Genes & Cells;;Patrick Williamson  Amy Springer;LEC;MWF 11:00AM-11:50AM;MEAD 115;14;14
0809F;BIOL-19-04;Molecules, Genes & Cells;;Patrick Williamson  Amy Springer;LEC;MWF 11:00AM-11:50AM;MEAD 115;24;24
0809F;BIOL-19-04;Molecules, Genes & Cells;;Patrick Williamson  Amy Springer;LEC;MWF 11:00AM-11:50AM;MEAD 115;24;24
0809F;BIOL-19-05;Molecules, Genes & Cells;;Patrick Williamson  Amy Springer;LEC;MWF 11:00AM-11:50AM;MEAD 115;13;13
0809F;BIOL-19-05;Molecules, Genes & Cells;;Patrick Williamson  Amy Springer;LEC;MWF 11:00AM-11:50AM;MEAD 115;13;13
0809F;BIOL-23-01;Ecology;BIOL-23-01,ENST-21-01;Ethan Temeles;L/D;MWF 12:00PM-12:50PM;MERR 3;33;55
0809F;BIOL-25-03;Molecular Genetics;;David Ratner;LEC;MWF 11:00AM-11:50AM;MERR 4;14;14
0809F;BIOL-25-04;Molecular Genetics;;David Ratner;LEC;MWF 11:00AM-11:50AM;MERR 4;14;14
0809F;BIOL-31-01;Human Reproductive Biol;;Christos Coutifaris;L/D;W 02:00PM-05:00PM;MCLS 428;15;15
0809F;BIOL-32-01;Evolutionary Biology;;Jill Miller;LEC;TTH 10:00AM-11:20AM;MERR 315;12;12
0809F;BIOL-34-01;Molecular Biol of Cancer;;Richard Goldsby;L/D;TTH 02:00PM-04:00PM;MERR 220;12;12
0809F;BIOL-35-02;Neurobiology;;Stephen George;LEC;MWF 09:00AM-09:50AM;FAYE 115;13;13
0809F;BIOL-35-03;Neurobiology;;Stephen George;LEC;MWF 09:00AM-09:50AM;FAYE 115;12;12
0809F;BLST-12-01;Debate in Black Studies;;John Drabinski;L/D;TTH 11:30AM-12:50PM;COOP 101;13;13
0809F;BLST-12-02;Debate in Black Studies;;Jeffrey Ferguson;L/D;MW 02:00PM-03:20PM;COOP 101;20;20
0809F;BLST-13-01;Bob Marley & Jamaican Music;MUSI-15-01,BLST-13-01;Jason Robinson;L/D;TTH 10:00AM-11:20AM;ARMU 212;13;36
0809F;BLST-21-01;Blk Diaspora/ Hait Revolut;BLST-21-01,HIST-11-01;Jose Castro Alves;L/D;TTH 10:00AM-11:20AM;COOP 101;1;7
0809F;BLST-27-01;Creating a Writing Self;;Andrea Rushing;L/D;TTH 02:00PM-03:20PM;CLAR 100;3;3
0809F;BLST-43-01;Arts/Orature in Africa;BLST-43-01,ARHA-38-01;Rowland Abiodun;L/D;MW 12:30PM-01:50PM;COOP 101;6;8
0809F;BLST-45-01;African Art & Diaspora;ARHA-70-01,BLST-45-01;Rowland Abiodun;L/D;MW 08:30AM-09:50AM;FAYE 217A;2;19
0809F;BLST-48-01;Africa Before Eur Conqst;HIST-63-01,BLST-48-01;Sean Redding;L/D;TTH 10:00AM-11:20AM;CHAP 101;5;26
0809F;BLST-50-01;Riot & Rebellion;HIST-92-01,BLST-50-01;Sean Redding;L/D;M 02:00PM-04:00PM;CHAP 205;5;16
0809F;BLST-51-01;Black Marxism;HIST-89-01,BLST-51-01;Jose Castro Alves;L/D;W 02:00PM-04:30PM;CLAR 100;10;16
0809F;BLST-52-01;Social Psych of Race;PSYC-44-01,BLST-52-01;Allen Hart;L/D;M 02:00PM-04:30PM;CONV 207;3;15
0809F;BLST-57-01;Slave Trade-Reconstructn;BLST-57-01,HIST-41-01;Hilary Moss;L/D;TTH 02:00PM-03:20PM;WEBS 217;10;24
0809F;BLST-62-01;Ellison's Invisible Man;;Jeffrey Ferguson;L/D;T 02:00PM-04:30PM;COOP 101;8;8
0809F;BLST-66-01;Rotten English;ENGL-95-02,BLST-66-01;Marisa Parham;L/D;TTH 08:30AM-09:50AM;FAYE 217A;2;16
0809F;CHEM-03-01;Human Physiology;BIOL-03-01,CHEM-03-01;Stephen George  Patricia O'Hara;LEC;MWF 01:00PM-01:50PM;MCLS 428;4;8
0809F;CHEM-03-01;Human Physiology;BIOL-03-01,CHEM-03-01;Stephen George  Patricia O'Hara;LEC;MWF 01:00PM-01:50PM;MCLS 428;4;8
0809F;CHEM-11-01;Introductory Chemistry;CHEM-11-01,CHEM-11-16;Sandra Burkett  Joseph Kushick;LEC;MWF 12:00PM-12:50PM;MERR 2;18;18
0809F;CHEM-11-01;Introductory Chemistry;CHEM-11-01,CHEM-11-16;Sandra Burkett  Joseph Kushick;LEC;MWF 12:00PM-12:50PM;MERR 2;18;18
0809F;CHEM-11-02;Introductory Chemistry;CHEM-11-02,CHEM-11-26;Sandra Burkett  Joseph Kushick;LEC;MWF 12:00PM-12:50PM;MERR 2;11;17
0809F;CHEM-11-02;Introductory Chemistry;CHEM-11-02,CHEM-11-26;Sandra Burkett  Joseph Kushick;LEC;MWF 12:00PM-12:50PM;MERR 2;11;17
0809F;CHEM-11-03;Introductory Chemistry;CHEM-11-03,CHEM-11-36;Sandra Burkett  Joseph Kushick;LEC;MWF 12:00PM-12:50PM;MERR 2;15;25
0809F;CHEM-11-03;Introductory Chemistry;CHEM-11-03,CHEM-11-36;Sandra Burkett  Joseph Kushick;LEC;MWF 12:00PM-12:50PM;MERR 2;15;25
0809F;CHEM-11-04;Introductory Chemistry;CHEM-11-04,CHEM-11-46;Sandra Burkett  Joseph Kushick;LEC;MWF 12:00PM-12:50PM;MERR 2;12;14
0809F;CHEM-11-04;Introductory Chemistry;CHEM-11-04,CHEM-11-46;Sandra Burkett  Joseph Kushick;LEC;MWF 12:00PM-12:50PM;MERR 2;12;14
0809F;CHEM-11-05;Introductory Chemistry;;Sandra Burkett  Joseph Kushick;LEC;MWF 12:00PM-12:50PM;MERR 2;14;14
0809F;CHEM-11-05;Introductory Chemistry;;Sandra Burkett  Joseph Kushick;LEC;MWF 12:00PM-12:50PM;MERR 2;14;14
0809F;CHEM-11-16;Introductory Chemistry;CHEM-11-01,CHEM-11-16;Sandra Burkett  Joseph Kushick;LEC;MWF 12:00PM-12:50PM;MERR 2;0;18
0809F;CHEM-11-16;Introductory Chemistry;CHEM-11-01,CHEM-11-16;Sandra Burkett  Joseph Kushick;LEC;MWF 12:00PM-12:50PM;MERR 2;0;18
0809F;CHEM-11-26;Introductory Chemistry;CHEM-11-02,CHEM-11-26;Sandra Burkett  Joseph Kushick;LEC;MWF 12:00PM-12:50PM;MERR 2;6;17
0809F;CHEM-11-26;Introductory Chemistry;CHEM-11-02,CHEM-11-26;Sandra Burkett  Joseph Kushick;LEC;MWF 12:00PM-12:50PM;MERR 2;6;17
0809F;CHEM-11-36;Introductory Chemistry;CHEM-11-03,CHEM-11-36;Sandra Burkett  Joseph Kushick;LEC;MWF 12:00PM-12:50PM;MERR 2;10;25
0809F;CHEM-11-36;Introductory Chemistry;CHEM-11-03,CHEM-11-36;Sandra Burkett  Joseph Kushick;LEC;MWF 12:00PM-12:50PM;MERR 2;10;25
0809F;CHEM-11-46;Introductory Chemistry;CHEM-11-04,CHEM-11-46;Sandra Burkett  Joseph Kushick;LEC;MWF 12:00PM-12:50PM;MERR 2;2;14
0809F;CHEM-11-46;Introductory Chemistry;CHEM-11-04,CHEM-11-46;Sandra Burkett  Joseph Kushick;LEC;MWF 12:00PM-12:50PM;MERR 2;2;14
0809F;CHEM-12-01;Chemical Principles;;Amira Choucair;LEC;MWF 12:00PM-12:50PM;MERR 220;22;22
0809F;CHEM-15-01;Fundamtl Chem Principles;;Mark Marshall;LEC;MWF 09:00AM-09:50AM;MERR 4;13;13
