ASLC-39-01;ASIAN LANGUAGES AND CIVILIZATIONS;;;[c];;Asia Pop;T Van Compernolle & P Zamperini;L/D;TTH 10:00AM-11:20AM;WEBS 220
ASLC-41-01;ASIAN LANGUAGES AND CIVILIZATIONS;[l];;;[x];Anthro and Middle East;Christopher Dole;L/D;TTH 2:00PM-3:20PM;CHAP 205
ASLC-46-01;ASIAN LANGUAGES AND CIVILIZATIONS;;;;[x];Modern China;Jerry Dennerline;L/D;TTH 2:00PM-3:20PM;CHAP 203
ASLC-47-01;ASIAN LANGUAGES AND CIVILIZATIONS;;;;[x];Modern Japan;Trent Maxey;L/D;MWF 11:00AM-11:50AM;FAYE 117
ASLC-56-01;ASIAN LANGUAGES AND CIVILIZATIONS;;;;[x];Islamic Mystic Tradition;Tariq Jaffer;L/D;TH 2:00PM-4:30PM;CHAP 210
ASLC-58-01;ASIAN LANGUAGES AND CIVILIZATIONS;;;;[x];Buddhist Ethics;Maria Heim;L/D;MW 12:30PM-1:50PM;WEBS 220
ASLC-60-01;ASIAN LANGUAGES AND CIVILIZATIONS;[l];;;[x];Religion: S Asian World;Lawrence Babb;L/D;MW 2:00PM-3:20PM;ESNH 107
ASLC-63-01;ASIAN LANGUAGES AND CIVILIZATIONS;;;[c];[x];Women in Middle East;Monica Ringer;L/D;TTH 2:00PM-3:20PM;CONV 209
ASLC-66-01;ASIAN LANGUAGES AND CIVILIZATIONS;;;;;Novel in Pre-Mod China;Paola Zamperini;L/D;MW 12:30PM-1:50PM;WEBS 217
ASTR-11-01;ASTRONOMY;;;[c];;Intro Modern Astronomy;George Greenstein;L/D;MWF 11:00AM-11:50AM;CHAP 201
ASTR-14-01;ASTRONOMY;;;;;Stars and Galaxies;Ronald Snell;L/D;TTH 1:00PM-2:15PM;Hasbrouck 138, UM
ASTR-20-01;ASTRONOMY;;;;;Commun Sci Thru Elec Media;H Crowl & S Hameed;L/D;M 6:30PM-9:30PM;126 Adele Simmons Hall, HC
ASTR-25-01;ASTRONOMY;;;;;Galctic/Extragalct Astro;Suzan Edwards;L/D;MW 3:00PM-5:00PM;Jan Greene Bldg, Smith
ASTR-28-01;ASTRONOMY;;;;;Intro to Astrophysics;Salman Hameed;L/D;MW 2:30PM-3:50PM;TBA
ASTR-37-01;ASTRONOMY;;;;;Optical & Infrared Astro;R Gutermuth & J Lowenthal;L/D;T 7:00PM-10:00PM;406 MacConnell, Smith
ASTR-52-01;ASTRONOMY;;;;;Adv Astrophysics;Houjun Mo;L/D;MW 1:25PM-3:00PM;LGRT 1114, UM
ASTR-74-01;ASTRONOMY;;;;;Reading Course;The Department;L/D;TBD;TBA
BIOL-14-01;BIOLOGY;;;;;Evolutn of Human Nature;William Zimmerman;L/D;TTH 11:30AM-12:50PM;MERR 2
BIOL-18-02;BIOLOGY;[l];;;;Adaptation & Organism;E Clotfelter & Michael Hood;LEC;MWF 10:00AM-10:50AM;MEAD 115
BIOL-18-02;BIOLOGY;[l];;;;Adaptation & Organism;E Clotfelter & Michael Hood;DIS;T 1:00PM-1:50PM;MEAD 115
BIOL-18-02;BIOLOGY;[l];;;;Adaptation & Organism;E Clotfelter & Michael Hood;LAB;T 2:00PM-5:00PM;MCLS 234
BIOL-18-03;BIOLOGY;[l];;;;Adaptation & Organism;E Clotfelter & Michael Hood;LEC;MWF 10:00AM-10:50AM;MEAD 115
BIOL-18-03;BIOLOGY;[l];;;;Adaptation & Organism;E Clotfelter & Michael Hood;DIS;T 1:00PM-1:50PM;MEAD 115
BIOL-18-03;BIOLOGY;[l];;;;Adaptation & Organism;E Clotfelter & Michael Hood;LAB;W 2:00PM-5:00PM;MCLS 234
BIOL-18-04;BIOLOGY;[l];;;;Adaptation & Organism;E Clotfelter & Michael Hood;LEC;MWF 10:00AM-10:50AM;MEAD 115
BIOL-18-04;BIOLOGY;[l];;;;Adaptation & Organism;E Clotfelter & Michael Hood;DIS;T 1:00PM-1:50PM;MEAD 115
BIOL-18-04;BIOLOGY;[l];;;;Adaptation & Organism;E Clotfelter & Michael Hood;LAB;TH 2:00PM-5:00PM;MCLS 234
BIOL-18-05;BIOLOGY;[l];;;;Adaptation & Organism;E Clotfelter & Michael Hood;LEC;MWF 10:00AM-10:50AM;MEAD 115
BIOL-18-05;BIOLOGY;[l];;;;Adaptation & Organism;E Clotfelter & Michael Hood;DIS;T 1:00PM-1:50PM;MEAD 115
BIOL-18-05;BIOLOGY;[l];;;;Adaptation & Organism;E Clotfelter & Michael Hood;LAB;F 2:00PM-5:00PM;MCLS 234
BIOL-18-06;BIOLOGY;[l];;;;Adaptation & Organism;E Clotfelter & Michael Hood;LEC;MWF 10:00AM-10:50AM;MEAD 115
BIOL-18-06;BIOLOGY;[l];;;;Adaptation & Organism;E Clotfelter & Michael Hood;DIS;T 1:00PM-1:50PM;MEAD 115
BIOL-18-06;BIOLOGY;[l];;;;Adaptation & Organism;E Clotfelter & Michael Hood;LAB;TH 8:00AM-11:00AM;MCLS 234
BIOL-22-01;BIOLOGY;;;;;Developmental Biology;Dominic Poccia;LEC;MWF 11:00AM-11:50AM;MERR 220
BIOL-22-01;BIOLOGY;;;;;Developmental Biology;Dominic Poccia;DIS;W 1:00PM-1:50PM;MERR 220
BIOL-22-01;BIOLOGY;;;;;Developmental Biology;Dominic Poccia;LAB;W 2:00PM-6:00PM;MCLS 336
BIOL-24-04;BIOLOGY;[l];;;;Genetic Analysis;Caroline Goutte;LEC;TTH 10:00AM-11:20AM;MERR 131
BIOL-24-04;BIOLOGY;[l];;;;Genetic Analysis;Caroline Goutte;LAB;TH 2:00PM-5:00PM;MCLS 432
BIOL-24-05;BIOLOGY;[l];;;;Genetic Analysis;Caroline Goutte;LEC;TTH 10:00AM-11:20AM;MERR 131
BIOL-24-05;BIOLOGY;[l];;;;Genetic Analysis;Caroline Goutte;LAB;F 1:00PM-4:00PM;MCLS 432
BIOL-29-04;BIOLOGY;[l];[p];;;Cell Structure/Function;Amy Springer;LEC;TTH 8:30AM-9:50AM;ESNH 107
BIOL-29-04;BIOLOGY;[l];[p];;;Cell Structure/Function;Amy Springer;DIS;T 1:00PM-1:50PM;MERR 401
BIOL-29-04;BIOLOGY;[l];[p];;;Cell Structure/Function;Amy Springer;LAB;TH 2:00PM-5:00PM;MCLS 336
BIOL-29-05;BIOLOGY;[l];;;;Cell Structure/Function;Amy Springer;LEC;TTH 8:30AM-9:50AM;ESNH 107
BIOL-29-05;BIOLOGY;[l];;;;Cell Structure/Function;Amy Springer;DIS;T 1:00PM-1:50PM;MERR 401
BIOL-29-05;BIOLOGY;[l];;;;Cell Structure/Function;Amy Springer;LAB;F 1:00PM-4:00PM;MCLS 336
BIOL-30-02;BIOLOGY;[l];;[c];[x];Biochemistry;Sheila Jaswal & P Williamson;LEC;MWF 10:00AM-10:50AM;MERR 4
BIOL-30-02;BIOLOGY;[l];;[c];[x];Biochemistry;Sheila Jaswal & P Williamson;DIS;F 2:00PM-2:50PM;MERR 4
BIOL-30-02;BIOLOGY;[l];;[c];[x];Biochemistry;Sheila Jaswal & P Williamson;LAB;T 2:00PM-6:00PM;MERR 404
BIOL-30-03;BIOLOGY;[l];;[c];[x];Biochemistry;Sheila Jaswal & P Williamson;LEC;MWF 10:00AM-10:50AM;MERR 4
BIOL-30-03;BIOLOGY;[l];;[c];[x];Biochemistry;Sheila Jaswal & P Williamson;DIS;F 2:00PM-2:50PM;MERR 4
BIOL-30-03;BIOLOGY;[l];;[c];[x];Biochemistry;Sheila Jaswal & P Williamson;LAB;W 2:00PM-6:00PM;MERR 404
BIOL-30-04;BIOLOGY;[l];;[c];[x];Biochemistry;Sheila Jaswal & P Williamson;LEC;MWF 10:00AM-10:50AM;MERR 4
BIOL-30-04;BIOLOGY;[l];;[c];[x];Biochemistry;Sheila Jaswal & P Williamson;DIS;F 2:00PM-2:50PM;MERR 4
BIOL-30-04;BIOLOGY;[l];;[c];[x];Biochemistry;Sheila Jaswal & P Williamson;LAB;TH 2:00PM-6:00PM;MERR 404
BIOL-32-01;BIOLOGY;[l];;;;Evolutionary Biology;Jill Miller;LEC;TTH 11:30AM-12:50PM;MERR 315
BIOL-32-01;BIOLOGY;[l];;;;Evolutionary Biology;Jill Miller;LAB;TH 2:00PM-6:00PM;MCLS 146
BIOL-33-01;BIOLOGY;[l];;;;Immunology;Richard Goldsby;L/D;TTH 2:00PM-4:00PM;MERR 220
BIOL-35-01;BIOLOGY;;;;;Neurobiology;Stephen George;LEC;MWF 9:00AM-9:50AM;FAYE 115
BIOL-35-01;BIOLOGY;;;;;Neurobiology;Stephen George;DIS;TH 1:00PM-1:50PM;MERR 403
BIOL-44-01;BIOLOGY;;;[c];;Disease Biology;Michael Hood;L/D;W 2:00PM-5:00PM;MCLS 428
BIOL-46-01;BIOLOGY;[l];;;;Behavioral Ecology;Ethan Temeles;L/D;TH 2:00PM-5:00PM;MCLS 230
BIOL-48-01;BIOLOGY;;;[c];;Conservation Biology;Charles Donlan;L/D;T 2:00PM-5:00PM;MERR 401
BIOL-78D-00;BIOLOGY;;;;;Senior Honors;The Department;TUT;M 3:30PM-5:00PM;MERR 4
BLST-11-01;BLACK STUDIES;;;[c];;Intro to Black Studies;Hilary Moss;L/D;M 2:00PM-4:30PM;FAYE 113
BLST-11-02;BLACK STUDIES;;;[c];;Intro to Black Studies;Carol Bailey;L/D;M 2:00PM-4:30PM;WEBS 217
BLST-20-01;BLACK STUDIES;;;[c];[x];African Cultrs/Societies;Miriam Goheen;L/D;MW 12:30PM-1:50PM;MERR 4
BLST-23-01;BLACK STUDIES;[l];;;;The Afro-Postmodern;John Drabinski;L/D;MW 12:30PM-1:50PM;CLAR 100
BLST-25-01;BLACK STUDIES;;;;[x];Women & Polit in Africa;Catharine Newbury;L/D;MW 2:00PM-3:20PM;CHAP 201
BLST-35-01;BLACK STUDIES;;;[c];[x];Race and Races;Carleen Basler;L/D;TH 2:00PM-4:30PM;CHAP 101
BLST-37-01;BLACK STUDIES;;;;[x];Caribbean Poetry;C. Rhonda Cobham-Sander;L/D;MW 8:30AM-9:50AM;COOP 101
BLST-42-01;BLACK STUDIES;;;;;Myth/Ritual West Africa;Rowland Abiodun;L/D;MW 12:30PM-1:50PM;COOP 101
BLST-44-01;BLACK STUDIES;;;;[x];Afro-Latin America;Lowell Gudmundson;L/D;MW 12:30PM-1:50PM;CONV 207
BLST-46-01;BLACK STUDIES;;;;[x];Survey of African Art;Rowland Abiodun;L/D;MW 8:30AM-9:50AM;MCLS 230
BLST-53-01;BLACK STUDIES;[l];;;[x];The Blues Muse;Jason Robinson;L/D;TTH 8:30AM-9:50AM;ARMU 212
BLST-54-01;BLACK STUDIES;[l];;;[x];Black Music/Black Poetry;Carol Bailey;L/D;TTH 11:30AM-12:50PM;JOCH 21
BLST-64-01;BLACK STUDIES;;;;;Black Studies Seminar;Jeffrey Ferguson;L/D;W 2:00PM-4:30PM;FAYE 217A
BLST-64-02;BLACK STUDIES;;;;;Black Studies Seminar;C R Cobham-Sander;L/D;W 2:00PM-4:30PM;COOP 101
BLST-65-01;BLACK STUDIES;[l];;;[x];Gandhi and King;J Ferguson & U Mehta;L/D;T 2:00PM-4:30PM;COOP 101
BLST-67-01;BLACK STUDIES;;;[c];[x];Race & Educ Opportunity;Hilary Moss;L/D;W 2:00PM-4:30PM;WEBS 217
CHEM-08-01;CHEMISTRY;;;;;Chem and the Environment;Karena McKinney;LEC;MWF 12:00PM-12:50PM;MERR 401
CHEM-08-01;CHEMISTRY;;;;;Chem and the Environment;Karena McKinney;DIS;M 2:00PM-4:00PM;MERR 314
CHEM-11-02;CHEMISTRY;[l];[p];;[x];Introductory Chemistry;S Burkett & K McKinney;LEC;MWF 11:00AM-11:50AM;MERR 131
CHEM-11-02;CHEMISTRY;[l];[p];;[x];Introductory Chemistry;S Burkett & K McKinney;DIS;M 1:00PM-1:50PM;MERR 403
CHEM-11-02;CHEMISTRY;[l];[p];;[x];Introductory Chemistry;S Burkett & K McKinney;LAB;T 2:00PM-5:00PM;MERR 425
CHEM-11-03;CHEMISTRY;[l];[p];;[x];Introductory Chemistry;S Burkett & K McKinney;LEC;MWF 11:00AM-11:50AM;MERR 131
CHEM-11-03;CHEMISTRY;[l];[p];;[x];Introductory Chemistry;S Burkett & K McKinney;DIS;M 2:00PM-2:50PM;MERR 403
CHEM-11-03;CHEMISTRY;[l];[p];;[x];Introductory Chemistry;S Burkett & K McKinney;LAB;W 2:00PM-5:00PM;MERR 425
CHEM-11-26;CHEMISTRY;[l];[p];;[x];Introductory Chemistry;S Burkett & K McKinney;LEC;MWF 11:00AM-11:50AM;MERR 131
CHEM-11-26;CHEMISTRY;[l];[p];;[x];Introductory Chemistry;S Burkett & K McKinney;L/D;F 1:00PM-:300PM;MERR 315
CHEM-11-26;CHEMISTRY;[l];[p];;[x];Introductory Chemistry;S Burkett & K McKinney;DIS;M 1:00PM-1:50PM;MERR 403
CHEM-11-26;CHEMISTRY;[l];[p];;[x];Introductory Chemistry;S Burkett & K McKinney;LAB;T 2:00PM-5:00PM;MERR 425
CHEM-11-36;CHEMISTRY;[l];[p];;[x];Introductory Chemistry;S Burkett & K McKinney;LEC;MWF 11:00AM-11:50AM;MERR 131
CHEM-11-36;CHEMISTRY;[l];[p];;[x];Introductory Chemistry;S Burkett & K McKinney;L/D;F 1:00PM-:300PM;MERR 315
CHEM-11-36;CHEMISTRY;[l];[p];;[x];Introductory Chemistry;S Burkett & K McKinney;DIS;M 2:00PM-2:50PM;MERR 403
CHEM-11-36;CHEMISTRY;[l];[p];;[x];Introductory Chemistry;S Burkett & K McKinney;LAB;W 2:00PM-5:00PM;MERR 425
CHEM-12-01;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;LEC;MWF 11:00AM-11:50AM;MERR 2
CHEM-12-01;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;DIS;M 3:00PM-3:50PM;MERR 220
CHEM-12-01;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;LAB;T 8:00AM-11:00AM;MERR 426
CHEM-12-02;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;LEC;MWF 11:00AM-11:50AM;MERR 2
CHEM-12-02;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;DIS;M 3:00PM-3:50PM;MERR 131
CHEM-12-02;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;LAB;T 2:00PM-5:00PM;MERR 426
CHEM-12-03;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;LEC;MWF 11:00AM-11:50AM;MERR 2
CHEM-12-03;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;DIS;M 2:00PM-2:50PM;MERR 131
CHEM-12-03;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;LAB;W 2:00PM-5:00PM;MERR 426
CHEM-12-04;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;LEC;MWF 11:00AM-11:50AM;MERR 2
CHEM-12-04;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;DIS;M 2:00PM-2:50PM;MERR 220
CHEM-12-04;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;LAB;TH 2:00PM-5:00PM;MERR 426
CHEM-12-05;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;LEC;MWF 11:00AM-11:50AM;MERR 2
CHEM-12-05;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;DIS;M 1:00PM-1:50PM;MERR 220
CHEM-12-05;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;LAB;M 3:00PM-6:00PM;MERR 426
CHEM-12-16;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;LEC;MWF 11:00AM-11:50AM;MERR 2
CHEM-12-16;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;L/D;F 1:00PM-:300PM;MERR 401
CHEM-12-16;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;DIS;M 3:00PM-3:50PM;MERR 220
CHEM-12-16;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;LAB;T 8:00AM-11:00AM;MERR 426
CHEM-12-26;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;LEC;MWF 11:00AM-11:50AM;MERR 2
CHEM-12-26;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;L/D;F 1:00PM-:300PM;MERR 401
