ARHA-353-01;Myth/Ritual West Africa;BLST-315-01,ARHA-353-01;Rowland Abiodun;L/D;MW 12:30PM-01:50PM;3
ARHA-360-01;Public Art;AMST-360-01,ARHA-360-01;Carol Clark;L/D;MW 12:30PM-01:50PM;16
ARHA-412-01;The Sixties;;Natasha Staller;L/D;T 01:00PM-03:30PM;15
ASLC-123-01;Arts of Japan;ARHA-148-01,ASLC-123-01;Samuel Morse;L/D;MWF 09:00AM-09:50AM;23
ASLC-146-01;Modern China;HIST-172-01,ASLC-146-01;Jerry Dennerline;L/D;TTH 10:00AM-11:20AM;40
ASLC-148-01;Middle East 1800-Present;HIST-191-01,ASLC-148-01;Monica Ringer;L/D;TTH 08:30AM-09:50AM;36
ASLC-174-01;Modern South Asian Hist;HIST-174-01,ASLC-174-01;Dwaipayan Sen;L/D;MW 02:00PM-03:20PM;34
ASLC-233-01;Mod +ACY- Contemp Japan Lit;;Timothy Van Compernolle;L/D;MW 12:30PM-01:50PM;5
ASLC-234-01;Japan on Screen;ASLC-234-01,FAMS-320-01;Timothy Van Compernolle;L/D;TTH 02:30PM-03:50PM;9
ASLC-254-01;Reading Buddhist Texts;RELI-254-01,ASLC-254-01;Andrew Olendzki;L/D;T 02:30PM-05:00PM;22
ASLC-260-01;Buddhist Art of Asia;ARHA-261-01,ASLC-260-01;Samuel Morse;L/D;MWF 11:00AM-11:50AM;17
ASLC-267-01;Arts of the Book;ARHA-267-01,ASLC-267-01;Yael Rice;L/D;MW 02:00PM-03:20PM;6
ASLC-270-01;Muslim Lives in S. Asia;ANTH-253-01,ASLC-270-01;Nusrat Chowdhury;L/D;MW 02:00PM-03:20PM;10
ASLC-282-01;Muhammad and the Qur'an;RELI-282-01,ASLC-282-01;Tariq Jaffer;L/D;TTH 11:30AM-12:50PM;21
ASLC-318-01;Chinese Childrearing;ANTH-318-01,ASLC-318-01;Vanessa Fong;L/D;F 02:00PM-04:30PM;10
ASLC-326-01;Enlightening Passion;ASLC-326-01,WAGS-326-01,RELI-326-01;Paola Zamperini;L/D;MW 12:30PM-01:50PM;5
ASLC-355-01;Early Islam;HIST-393-01,ASLC-355-01;Monica Ringer;L/D;TTH 11:30AM-12:50PM;11
ASLC-356-01;Islamic Mystic Tradition;RELI-385-01,ASLC-356-01;Tariq Jaffer;L/D;TH 02:30PM-04:30PM;9
ASLC-366-01;Novel in Pre-Mod China;;Paola Zamperini;L/D;TTH 11:30AM-12:50PM;11
ASLC-470-01;China: People and State;HIST-478-01,ASLC-470-01;Jerry Dennerline;L/D;TTH 02:30PM-03:50PM;5
ASTR-111-01;Intro Modern Astronomy;;Thomas Burbine;L/D;MW 12:30PM-01:50PM;92
BCBP-291-01;Cell Struct +ACY- Function;BIOL-291-01,BCBP-291-01;Dominic Poccia;L/D;MWF 12:00PM-12:50PM;23
BCBP-291F-01;Cell Struct +ACY- Function;BIOL-291F-01,BCBP-291F-01;Dominic Poccia;DIS;T 01:00PM-01:50PM;23
BCBP-291L-01;Cell Struct +ACY- Function;BIOL-291L-01,BCBP-291L-01;Dominic Poccia;LAB;T 02:30PM-05:30PM;11
BCBP-291L-02;Cell Struct +ACY- Function;BIOL-291L-02,BCBP-291L-02;Dominic Poccia;LAB;W 02:00PM-05:00PM;12
BCBP-331-01;Biochemistry;BIOL-331-01,BCBP-331-01,CHEM-331-01;Anthony Bishop  Patrick Williamson;LEC;MWF 09:00AM-09:50AM;39
BCBP-331-01;Biochemistry;BIOL-331-01,BCBP-331-01,CHEM-331-01;Anthony Bishop  Patrick Williamson;LEC;MWF 09:00AM-09:50AM;39
BCBP-331F-01;Biochemistry Discuss;BCBP-331F-01,BIOL-331F-01,CHEM-331F-01;Anthony Bishop  Patrick Williamson;DIS;F 02:00PM-02:50PM;39
BCBP-331F-01;Biochemistry Discuss;BCBP-331F-01,BIOL-331F-01,CHEM-331F-01;Anthony Bishop  Patrick Williamson;DIS;F 02:00PM-02:50PM;39
BCBP-331L-01;Biochemistry Lab;BIOL-331L-01,CHEM-331L-01,BCBP-331L-01;Anthony Bishop  Patrick Williamson;LAB;T 01:00PM-05:00PM;15
BCBP-331L-01;Biochemistry Lab;BIOL-331L-01,CHEM-331L-01,BCBP-331L-01;Anthony Bishop  Patrick Williamson;LAB;T 01:00PM-05:00PM;15
BCBP-331L-02;Biochemistry Lab;BIOL-331L-02,BCBP-331L-02,CHEM-331L-02;Anthony Bishop  Patrick Williamson;LAB;W 02:00PM-06:00PM;14
BCBP-331L-02;Biochemistry Lab;BIOL-331L-02,BCBP-331L-02,CHEM-331L-02;Anthony Bishop  Patrick Williamson;LAB;W 02:00PM-06:00PM;14
BCBP-331L-03;Biochemistry Lab;BIOL-331L-03,BCBP-331L-03,CHEM-331L-03;Anthony Bishop  Patrick Williamson;LAB;TH 01:00PM-05:00PM;10
BCBP-331L-03;Biochemistry Lab;BIOL-331L-03,BCBP-331L-03,CHEM-331L-03;Anthony Bishop  Patrick Williamson;LAB;TH 01:00PM-05:00PM;10
BIOL-104-01;Food, Fiber +ACY- Pharma;;Rachel Levin;L/D;TTH 10:00AM-11:20AM;25
BIOL-110-01;Contagion;;Alexandra Purdy;L/D;MWF 11:00AM-11:50AM;40
BIOL-181-01;Adaptation +ACY- Organism;;Ethan Clotfelter  Julia Emerson  Jill Miller;LEC;MWF 10:00AM-10:50AM;109
BIOL-181-01;Adaptation +ACY- Organism;;Ethan Clotfelter  Julia Emerson  Jill Miller;LEC;MWF 10:00AM-10:50AM;109
BIOL-181-01;Adaptation +ACY- Organism;;Ethan Clotfelter  Julia Emerson  Jill Miller;LEC;MWF 10:00AM-10:50AM;109
BIOL-181F-01;Adaptation +ACY- Organism;;Ethan Clotfelter  Julia Emerson  Jill Miller;DIS;T 01:00PM-01:50PM;109
BIOL-181F-01;Adaptation +ACY- Organism;;Ethan Clotfelter  Julia Emerson  Jill Miller;DIS;T 01:00PM-01:50PM;109
BIOL-181F-01;Adaptation +ACY- Organism;;Ethan Clotfelter  Julia Emerson  Jill Miller;DIS;T 01:00PM-01:50PM;109
BIOL-181L-01;Adaptation +ACY- Organism;;Ethan Clotfelter  Julia Emerson  Jill Miller;LAB;T 02:30PM-05:30PM;21
BIOL-181L-01;Adaptation +ACY- Organism;;Ethan Clotfelter  Julia Emerson  Jill Miller;LAB;T 02:30PM-05:30PM;21
BIOL-181L-01;Adaptation +ACY- Organism;;Ethan Clotfelter  Julia Emerson  Jill Miller;LAB;T 02:30PM-05:30PM;21
BIOL-181L-02;Adaptation +ACY- Organism;;Ethan Clotfelter  Julia Emerson  Jill Miller;LAB;W 02:00PM-05:00PM;22
BIOL-181L-02;Adaptation +ACY- Organism;;Ethan Clotfelter  Julia Emerson  Jill Miller;LAB;W 02:00PM-05:00PM;22
BIOL-181L-02;Adaptation +ACY- Organism;;Ethan Clotfelter  Julia Emerson  Jill Miller;LAB;W 02:00PM-05:00PM;22
BIOL-181L-03;Adaptation +ACY- Organism;;Ethan Clotfelter  Julia Emerson  Jill Miller;LAB;TH 02:30PM-05:30PM;22
BIOL-181L-03;Adaptation +ACY- Organism;;Ethan Clotfelter  Julia Emerson  Jill Miller;LAB;TH 02:30PM-05:30PM;22
BIOL-181L-03;Adaptation +ACY- Organism;;Ethan Clotfelter  Julia Emerson  Jill Miller;LAB;TH 02:30PM-05:30PM;22
BIOL-181L-04;Adaptation +ACY- Organism;;Ethan Clotfelter  Julia Emerson  Jill Miller;LAB;F 02:00PM-05:00PM;20
BIOL-181L-04;Adaptation +ACY- Organism;;Ethan Clotfelter  Julia Emerson  Jill Miller;LAB;F 02:00PM-05:00PM;20
BIOL-181L-04;Adaptation +ACY- Organism;;Ethan Clotfelter  Julia Emerson  Jill Miller;LAB;F 02:00PM-05:00PM;20
BIOL-181L-05;Adaptation +ACY- Organism;;Ethan Clotfelter  Julia Emerson  Jill Miller;LAB;TH 08:00AM-11:00AM;24
BIOL-181L-05;Adaptation +ACY- Organism;;Ethan Clotfelter  Julia Emerson  Jill Miller;LAB;TH 08:00AM-11:00AM;24
BIOL-181L-05;Adaptation +ACY- Organism;;Ethan Clotfelter  Julia Emerson  Jill Miller;LAB;TH 08:00AM-11:00AM;24
BIOL-210-01;Biostatistics;;Stephen George;L/D;MWF 09:00AM-09:50AM;24
BIOL-241-01;Genetic Analysis;;Caroline Goutte;L/D;TTH 10:00AM-11:20AM;28
BIOL-241L-01;Genetic Analysis Lab;;Caroline Goutte;LAB;TH 02:30PM-05:30PM;15
BIOL-241L-02;Genetic Analysis Lab;;Caroline Goutte;LAB;F 01:00PM-04:00PM;13
BIOL-260-01;Animal Physiology;;Josef Trapani;LEC;MWF 11:00AM-11:50AM;28
BIOL-291-01;Cell Struct +ACY- Function;BIOL-291-01,BCBP-291-01;Dominic Poccia;L/D;MWF 12:00PM-12:50PM;23
BIOL-291F-01;Cell Struct +ACY- Function;BIOL-291F-01,BCBP-291F-01;Dominic Poccia;DIS;T 01:00PM-01:50PM;23
BIOL-291L-01;Cell Struct +ACY- Function;BIOL-291L-01,BCBP-291L-01;Dominic Poccia;LAB;T 02:30PM-05:30PM;11
BIOL-291L-02;Cell Struct +ACY- Function;BIOL-291L-02,BCBP-291L-02;Dominic Poccia;LAB;W 02:00PM-05:00PM;12
BIOL-331-01;Biochemistry;BIOL-331-01,BCBP-331-01,CHEM-331-01;Anthony Bishop  Patrick Williamson;LEC;MWF 09:00AM-09:50AM;39
BIOL-331-01;Biochemistry;BIOL-331-01,BCBP-331-01,CHEM-331-01;Anthony Bishop  Patrick Williamson;LEC;MWF 09:00AM-09:50AM;39
BIOL-331F-01;Biochemistry Discuss;BCBP-331F-01,BIOL-331F-01,CHEM-331F-01;Anthony Bishop  Patrick Williamson;DIS;F 02:00PM-02:50PM;39
